Filename,Sample wt,TEST
131021_01_WT1,0.224404762,1
131021_02_WT2,0.198363095,2
131021_03_WT3,0.205505952,3
131021_04_WT4,0.197619048,4
131021_05_WT5,0.219642857,5
131021_06_WT6,0.21264881,6
131021_07_AZ1,0.19985119,7
131021_08_AZ2,0.214880952,8
131021_09_AZ3,0.195238095,9
131021_10_AZ4,0.196279762,10
131021_11_AZ5,0.21875,11
131021_12_AZ6,0.205654762,12
131021_13_Unknown1_01,0.204910714,13
131021_14_Unknown1_02,0.217559524,14
131021_15_Unknown1_03,0.188095238,15
131021_16_Unknown1_04,0.207440476,16
131021_17_Unknown1_05,0.180059524,17
131021_18_Unknown1_06,0.22485119,18
131021_19_Unknown3_01,0.210119048,19
131021_20_Unknown3_02,0.191815476,20
131021_21_Unknown3_03,0.174404762,21
131021_22_Unknown3_04,0.163244048,22
131021_23_Unknown3_05,0.183333333,23
131021_24_Unknown3_06,0.197321429,24
131021_25_Unknown4_01,0.211309524,25
131021_26_Unknown4_02,0.166666667,26
131021_27_Unknown4_03,0.197619048,27
131021_28_Unknown4_04,0.202827381,28
131021_29_Unknown4_05,0.240327381,29
131021_30_Unknown4_06,0.192261905,30
131021_31_Unknown8_01,0.189732143,31
131021_32_Unknown8_02,0.212053571,32
131021_33_Unknown8_03,0.189583333,33
131021_34_Unknown8_04,0.220833333,34
131021_35_Unknown8_05,0.179166667,35
131021_36_Unknown8_06,0.208035714,36
